set_number,theme,actual_growth,is_avoid,baseline_prob,f2_tuned_prob,baseline_flagged,f2_flagged
71497,DREAMZzz,3.56,1,0.381479340042688,0.3429722206451545,0,1
10435,DUPLO,2.47,1,0.49398668929311285,0.6464890298782681,0,1
43246,Disney,2.91,1,0.2351840497991617,0.19928755089390787,0,0
31169,Creator,3.72,1,0.889528721498912,0.9934329431298932,1,1
31167,Creator,3.72,1,0.9019095016040469,0.9927143161848154,1,1
60474,Town,4.49,1,0.8067019850135497,0.7990863924677791,1,1
42207,Technic,3.56,1,0.8828185672433242,0.986694259150444,1,1
11024,Educational and Dacta,5.12,0,0.30689733654462586,0.32558344153035923,0,1
60464,Town,3.9,1,0.958804302542367,0.9968899070115739,1,1
75397,Star Wars,7.29,0,0.05277320044039986,0.00404252666046978,0,0
31165,Creator,3.72,1,0.887103185105325,0.9964322740607213,1,1
42669,Friends,2.89,1,0.9904068609983289,0.9986669271410911,1,1
76284,Super Heroes,10.27,0,0.05068323399775451,0.0034526527059380342,0,0
42603,Friends,3.43,1,0.9875096481148059,0.9982243336908925,1,1
42170,Technic,3.56,1,0.9408680515649109,0.9950535012110411,1,1
10337,Icons,6.47,0,0.1257397093415512,0.013082015280833394,0,0
42202,Technic,3.56,1,0.8785372752281014,0.9901125770185304,1,1
31214,Art,6.51,0,0.18433465656052847,0.01519846816108184,0,0
75347,Star Wars,7.12,0,0.05095791559877416,0.009735265231309234,0,0
75373,Star Wars,4.74,1,0.8555356419356189,0.9795180901916916,1,1
31150,Creator,3.72,1,0.9106531342114517,0.9926667195241269,1,1
31145,Creator,3.72,1,0.8295851635893193,0.9953587084231538,1,1
72032,Super Mario,7.13,0,0.2896916839514618,0.05417450275388534,0,0
76295,Super Heroes,4.38,1,0.3538926512897869,0.41729651033284826,0,1
75388,Star Wars,4.54,1,0.9555730729349955,0.9942369605302303,1,1
10794,Super Heroes,4.51,1,0.44475497744896214,0.3421692697251007,0,1
75391,Star Wars,7.56,0,0.01471278102428207,0.0010479839350121124,0,0
10474,Duplo,3.84,1,0.4532177043098796,0.9110340571654225,0,1
10476,Duplo,3.84,1,0.7048371274968879,0.919048060193335,1,1
11378,Icons,5.22,0,0.20568134281386938,0.010243757454072123,0,0
21365,Ideas,6.04,0,0.2852183769341586,0.22437189327730692,0,0
21367,Ideas,6.06,0,0.17666943968223192,0.012679139561146491,0,0
60353,City,0.46,1,0.8598977913431968,0.9824720684218867,1,1
75372,Star Wars,6.99,0,0.2124745237267382,0.14982159054708696,0,0
75381,Star Wars,8.24,0,0.06770228155487906,0.0053496075961557985,0,0
75437,Star Wars,4.74,1,0.9251457330957604,0.9900067596081561,1,1
21327,Ideas,15.86,0,0.08782690644460095,0.019935091255296446,0,0
77242,Speed Champions,4.74,1,0.881706016323981,0.977018715549967,1,1
60471,Town,6.41,0,0.03505219194498175,0.0042922205430956685,0,0
75325,Star Wars,4.74,1,0.23173983056902597,0.4982334304658875,0,1
75333,Star Wars,9.13,0,0.037818653225861504,0.022359326908064657,0,0
75337,Star Wars,9.94,0,0.04107692290526995,0.0018695238993744882,0,0
75431,Star Wars,6.99,0,0.21950377888375508,0.20571739014748022,0,0
75408,Star Wars,7.16,0,0.04542356106626712,0.006192225667781782,0,0
75417,Star Wars,7.29,0,0.025356856255469375,0.00758792545822995,0,0
75449,Star Wars,6.99,0,0.32375719563295674,0.20803420566864703,0,0
75328,Star Wars,7.16,0,0.03868016530361901,0.005188235115479273,0,0
77249,SPEED CHAMPIONS,4.74,1,0.8903153387281787,0.9647570181124956,1,1
75400,Star Wars,7.56,0,0.08893898369089798,0.026977296906570275,0,0
75402,Star Wars,9.94,0,0.05020914755555092,0.02456081977570348,0,0
