strategy,n_sets,avg_growth,median_growth,pct_below_5,min_growth,sharpe_like
A_buy_all,322,11.060310547026047,8.470000267028809,0.2111801242236025,1.25,1.4366672323388947
B_growth_top50,161,15.348012415518673,13.609999656677246,0.055900621118012424,1.6299999952316284,1.984524623017308
C_inv_filter_40,234,12.385897416334887,10.055000305175781,0.08974358974358974,1.4299999475479126,1.6213694480215184
C_inv_filter_50,245,12.24114283785528,9.880000114440918,0.09795918367346938,1.4299999475479126,1.6103880396244417
C_inv_filter_60,258,12.559069755927537,10.184999942779541,0.09302325581395349,1.4299999475479126,1.6141426883390342
C_inv_filter_70,275,12.222181805697355,9.770000457763672,0.10545454545454545,1.4299999475479126,1.5838849425036077
D_combined_40,144,15.379305536548296,13.329999923706055,0.041666666666666664,2.5,2.006240895548517
D_combined_50,148,15.306351327412838,13.329999923706055,0.0472972972972973,1.6299999952316284,1.9980721777500512
D_combined_60,155,15.59322579983742,13.640000343322754,0.04516129032258064,1.6299999952316284,2.0236659470616813
D_combined_70,159,15.503081754318574,13.640000343322754,0.0440251572327044,1.6299999952316284,2.0250442210113904
